1;Чизбургер с Луком;72;1
2;Твистер острый;174;1
3;Твистер оригинальный;104;1
4;Баскет L;769;1
5;Баскет Фри;619;1
6;Картофель Фри Стандартный;309;1
7;Комбо с 2 Чизбургерами Де Люкс;156;1
8;Комбо с Шефбургером Де Люкс;137;1
9;Комбо с Баскетом Дуэт;131;1
10;2 Картофеля фри;72;1
11;2 Твистера;99;1
12;2 Острых ножки;57;1
13;3 Острых ножки;204;1
14;Шефбургер Джуниор острый;189;1
15;Шефбургер острый;389;1
16;Шефбургер;649;1
17;Чизбургер Де Люкс;489;1
18;Шефбургер Де Люкс;421;1
19;Шефбургер Де Люкс острый;699;1
20;Шефбургер Джуниор;274;1
21;АйТвистер;214;1
22;Боксмастер острый;274;1
23;Боксмастер оригинальный;112;1
24;Твистер Де Люкс оригинальный;274;1
25;Твистер Де Люкс острый;219;1
26;Баскет S;69;1
27;Баскет M;104;1
28;Баскет Острый "Крылышки и ножки";31;1
29;Баскет 12 крыльев + 12 наггетсов;31;1
30;Баскет 8 ножек острый;31;1
31;Баскет Дуэт оригинальный;91;1
32;Баскет 8 ножек оригинальный;70;1
33;Баскет Дуэт острый;70;1
34;Сандерс Баскет оригинальный;70;1
35;Домашний Баскет оригинальный;79;1
36;Домашний Баскет острый;50;1
37;9 Острых стрипсов;104;1
38;3 Острых стрипса;114;1
39;3 Оригинальных ножки;50;1
40;Биг Мак;145;2
41;Чикенбургер;55;2
42;Чизбургер;85;2
43;Чикен Макнаггетс (9 шт.);249;2
44;Картофель по-деревенски;829;2
45;Картофель Фри;289;2
46;Пара Макчикен Премьер;558;2
47;Пара Макчикен Премьер Пиканто;486;2
48;Обед с Биг Тейсти;166;2
49;Обед с Биг Мак(+ Чикен Макнаггетс 9 шт.);263;2
50;Большой МакКомбо Насти Ивлеевой;310;2
51;Обед с Роял (+ Чикен Макнаггетс 9 шт.);349;2
52;Обед на двоих с Роял;338;2
53;Обед на двоих с Биг Маком;303;2
54;Обед на двоих с Макчикен Премьер;275;2
55;Выгодная пара с Макфлурри Манго;243;2
56;Выгодная Пара (с Латте);220;2
57;Выгодная Пара (с Капучино);372;2
58;Макчикен Премьер Пиканто МакКомбо Большой;305;2
59;Панини Тоскана МакКомбо Большой;344;2
60;Чикен Панини Тоскана МакКомбо Большой;345;2
61;Двойной Биг Тейсти Большой МакКомбо;305;2
62;Биг Тейсти МакКомбо Большой;319;2
63;Двойной Роял МакКомбо Большой;215;2
64;Двойной Биг Мак Большой МакКОМБО;199;2
65;Биг Тейсти Джуниор Большой МакКомбо;199;2
66;Двойной Филе-о-Фиш МакКомбо Большой;339;2
67;Роял Де Люкс МакКомбо Большой;237;2
68;Филе-о-Фиш МакКомбо Большой;214;2
69;Роял МакКомбо Большой;190;2
70;Макчикен Премьер МакКомбо Большой;169;2
71;Биг Мак МакКомбо Большой;152;2
72;Двойной Чизбургер МакКомбо Большой;125;2
73;Макчикен МакКомбо Большой;55;2
74;Биг Тейсти Острый Большой МакКомбо;50;2
75;Биг Тейсти с беконом МакКомбо Большой;289;2
76;Цезарь Ролл МакКомбо Большой;189;2
77;Биг Тейсти Ролл Большой МакКомбо;659;2
78;Шримп Ролл МакКомбо Большой;255;2
79;Креветки 9 шт. МакКомбо Большой;179;2
80;Креветки 6 шт. МакКомбо Большой;189;2
81;Куриные Крылышки (7 шт) МакКомбо Большой;85;2
82;Куриные Крылышки (5 шт) МакКомбо Большой;99;2
83;Куриные Крылышки (3 шт) МакКомбо Большой;409;2
84;Куриные Стрипсы (7 шт) МакКомбо Большой;199;2
85;Куриные Стрипсы (5 шт) МакКомбо Большой;105;2
86;Куриные Стрипсы (3 шт) МакКомбо Большой;2;2
87;Чикен Макнаггетс 9 шт. МакКомбо Большой;156;2
88;Чикен Макнаггетс 6 шт. МакКомбо Большой;65;2
89;Макчикен Премьер Пиканто;55;2
90;Панини Тоскана;105;2
91;Чикен Панини Тоскана;229;2
92;Двойной Биг Тейсти;105;2
93;Биг Тейсти;95;2
94;Двойной Роял;85;2
95;Двойной Биг Мак;126;2
96;Биг Тейсти Джуниор;114;2
97;Тройной Чизбургер;55;2
98;Двойной Филе-О-Фиш;105;2
99;Роял Де Люкс;145;2
100;Филе-О-Фиш;80;2
101;Роял;155;2
102;Макчикен Премьер;30;2
103;Двойной Чизбургер;30;2
104;Макчикен;30;2
105;Гамбургер;115;2
106;Биг Тейсти Острый;114;2
107;Биг Тейсти с беконом;166;2
108;Цезарь Ролл;104;2
109;Биг Тейсти Ролл;104;2
110;Шримп Ролл;74;2
111;Большие Креветки (18 шт.);74;2
112;Большие Креветки (9 шт.);79;2
113;Большие Креветки (6 шт.);74;2
114;Куриные Крылышки (7 шт.);74;2
115;Куриные Крылышки (5 шт.);74;2
116;Куриные Крылышки (3 шт.);84;2
117;Стрипсы 7 шт.;189;2
118;Стрипсы 5 шт.;55;2
119;Стрипcы 3 шт.;55;2
120;Второе блюдо;242;3
121;Второе блюдо с соусом;183;3
122;Сырники 3 шт с начинкой на выбор;216;3
123;Блин Фарш и Кока-Кола на выбор;105;3
124;Блин Земляника;230;3
125;Блин Ватрушка;230;3
126;Блин с сахаром;112;3
127;Блин с шоколадным кремом;538;3
128;Блин с шоколадным кремом и бананом;250;3
129;Блин Сгущенка;367;3
130;Блин яблочно-карамельный;297;3
131;Блинчик с вишневым вареньем;315;3
132;Блинчик с клубничным вареньем;315;3
133;Блин Жюльен;112;3
134;Блин с икрой нерки;105;3
135;Блин Хачапури;152;3
136;Блин E-mail с грибами и сыром;226;3
137;Блин двойной с ветчиной и сыром;299;3
138;Блин Илья Муромец;132;3
139;Блин Илья Муромец без соуса;112;3
140;Блин Итальяно с вялеными помидорами;243;3
141;Блин Карбонара;198;3
142;Блин Куриный Богатырь;275;3
143;Блин Морской Богатырь;255;3
144;Блин Мясной Богатырь;275;3
145;Блин с двойной икрой нерки;246;3
146;Блин с капустой и яйцом;231;3
147;Блин с семгой;260;3
148;Блин с маслом;363;3
149;Блин с томленой куриной грудкой и соусом;19;3
150;Блин со сметаной;242;3
151;Блин Терем;218;3
152;Блин Фарш;271;3
153;Блин фермерский;215;3
154;Блин Цезарь с кетчупом;96;3
155;Блин Цезарь с томатным соусом;111;3
156;Блинчик Грибы с картошкой;264;3
157;Блинчик Курица с картошкой;233;3
158;Блинчик с ветчиной и сыром;204;3
159;Блинчик с грибами;168;3
160;Салат Винегрет с семгой;168;3
161;Салат "Русский Цезарь";156;3
162;Салат "Оливье";119;3
163;Борщ "Теремковский";160;3
164;Борщ "Теремковский" двойная порция;160;3
165;Лапша куриная с фрикадельками;126;3
166;Лапша куриная с фрикадельками двойная порция;166;3
167;Окрошка Домашняя на квасе;104;3
168;Окрошка Домашняя на квасе двойная порция;114;3
169;Суп гороховый с копчёностями;114;3
170;Суп гороховый с копчёностями двойная порция;221;3
171;Суп грибной с чипами;110;3
172;Суп грибной с чипами двойная порция;106;3
173;Сырный крем-суп;106;3
174;Сырный крем-суп двойная порция;103;3
175;Уха из форели по-фински;103;3
176;Уха из форели по-фински двойная порция;83;3
177;Булочка пшеничная;83;3
178;Булочка ржаная;114;3
179;Крошка-Картошка со сливочным маслом;129;4
180;Крошка-Картошка с сыром;129;4
181;Крошка-Картошка с укропом и растительным маслом;145;4
182;Борщ;179;4
183;Суп-лапша куриный;168;4
184;Суп гороховый;49;4
185;Крем-суп грибной;59;4
186;Сэндвич Классический с ветчиной;112;4
187;Сэндвич с куриной грудкой;95;4
188;Хлеб с чесночным маслом;110;4
189;Гренки Восемь злаков;80;4
190;Чизкейк;125;4
191;Песочное лимонное;110;4
192;Пирожное Картошка кокос;110;4
193;Морс ягодный;112;4
194;BonAqua газированная;80;4
195;BonAqua негазированная;80;4
196;Холодный чай FuzeTea лесная ягода-гибискус;75;4
197;Холодный чай FuzeTea лимон-лемонграсс;117;4
198;Квас;80;4
199;Бизнес-ланч # 2 (613 г);589;5
200;Бизнес-ланч # 5 (613 г.);324;5
201;Суп "Том Ям" с креветками, куриной грудкой и рисом;317;5
202;Вок удон с говядиной и брокколи в ароматном соусе;499;5
203;Вок удон с куриной грудкой в ароматном соусе;499;5
204;Вок рис Жасмин с курицей в ароматном соусе;99;5
205;Бизнес-ланч # 1 (623 г);289;5
206;Бизнес-ланч # 3 (629 г);374;5
207;Креветочные чипсы;395;5
208;Салат из морской капусты с морковкой и кунжутом;404;5
209;Суп "Том Ям" с креветками и курицей;398;5
