1,Taiping,Kropf,674,388
2,Fond du Sac,Kim,330,954
3,Pueblo Nuevo,Laurel,129,870
4,Ciilat,Golf View,368,523
5,Xiaozhoushan,West,369,128
6,Mojoroto,Shelley,270,615
7,Puno,Haas,915,957
8,Anta,Rutledge,450,373
9,Liangbing,Grasskamp,195,196
10,Zhangdian,Shelley,946,200
11,Romanovo,Heath,203,865
12,Oslo,Dakota,794,826
13,Przecław,Duke,92,534
14,Longcheng,Mcbride,252,77
15,Bilian,Luster,266,656
16,Moshkovo,Portage,982,541
17,Hägersten,Farmco,995,575
18,Lyskovo,Hayes,794,734
19,Göteborg,Southridge,787,280
20,Rääkkylä,Ohio,745,687
21,Ipoh,Orin,747,119
22,Norton,Hovde,528,117
23,Marapat,Tomscot,357,601
24,Hollola,Carpenter,268,606
25,Leeuwarden,Dahle,353,865
26,Piritiba,Everett,834,909
27,Sousse,Kedzie,638,179
28,Cát Bà,Becker,705,506
29,Pasir Mas,Center,107,1
30,Baranowo,Marquette,832,466
31,Potęgowo,Bultman,271,300
32,Ouranoupolis,Hansons,628,392
33,Sogod,Melby,693,570
34,Hrušovany u Brna,Jay,125,957
35,Sal’sk,Victoria,639,70
36,Stýpsi,Washington,648,705
37,Wunat,Chive,393,689
38,Avellaneda,Forest Dale,708,662
39,Guilmaro,Straubel,436,316
40,Kout na Šumavě,Myrtle,946,550
41,Nuuk,Pine View,952,283
42,Byerazino,Clemons,64,539
43,Tegarenkrajan,Nelson,989,475
44,Bayt Ūlā,New Castle,542,666
45,Rū-ye Sang,Delaware,985,816
46,Nizhniy Kurkuzhin,Mosinee,500,261
47,Tongqing,Mcbride,778,672
48,Mobaye,Canary,942,857
49,Terneuzen,Saint Paul,970,790
50,Jiaoshanhe,Granby,705,965
51,Tāfuna,Arizona,40,917
52,Panalo-on,Chinook,377,248
53,Bojonghaur,Melvin,214,666
54,Bantarjati,Jenna,727,60
55,Guangdu,Glacier Hill,98,180
56,Kokstad,Blaine,791,121
57,Zbrosławice,Holmberg,741,553
58,Shuangyuan,Cottonwood,838,389
59,Sinisian,Cardinal,820,621
60,Villa Santa Rosa,Buell,897,260
61,Alvito,Lillian,549,376
62,Jingouhe,Hanson,534,826
63,Erdao,Columbus,971,323
64,Qujiang,Mandrake,366,623
65,Artimet,Hansons,317,202
66,Karabash,Arizona,443,220
67,Vineuil,Sundown,876,931
68,Belčišta,Bultman,117,515
69,Beloostrov,Cambridge,241,936
70,Hanzhong,Redwing,906,736
71,Jepara,Old Shore,727,584
72,Polanka Wielka,Hanson,608,77
73,Kota Bharu,Debra,997,857
74,Duncan,Oxford,576,142
75,Lam Sonthi,Shelley,990,253
76,Sinarharapan,Acker,245,704
77,Tirah,Grasskamp,830,404
78,Araripina,Reindahl,654,360
79,Gunajaya,Basil,726,51
80,Sarangmeduro,Dexter,76,161
81,Oslo,Loomis,847,833
82,Gucheng,Ilene,316,207
83,T’ianet’i,Pond,9,120
84,Gingsir,Oneill,191,365
85,Kouqian,Prairie Rose,514,534
86,Lewo,Valley Edge,456,715
87,Lincheng,Crowley,431,658
88,Banjar Penyalin,Green,3,800
89,Budapest,Rieder,390,563
90,Marseille,Pankratz,313,145
91,Tanggeung Kolot,Glacier Hill,744,989
92,Gazli,Almo,440,155
93,Carania,Sugar,720,305
94,Rudong,Granby,483,257
95,Lefkímmi,Moland,273,836
96,Teresópolis,Oak,807,391
97,Kumanovo,Stephen,877,401
98,Sarāb,Steensland,759,22
99,Rymättylä,Nobel,368,117
100,Paris La Défense,Old Shore,686,897
101,Kalix,Dwight,872,958
102,Risaralda,Moland,784,223
103,Petaling Jaya,Lakeland,503,846
104,Sharga,5th,223,125
105,Wiskitki,Anhalt,681,374
106,Na Khu,Dahle,542,522
107,Mori,Loftsgordon,223,74
108,Timbulsari,Steensland,292,973
109,Charenton-le-Pont,South,706,891
110,Meijiang,Sloan,652,596
111,Sūq ar Rabū‘,Quincy,644,413
112,Västerås,Farragut,869,518
113,Stung Treng,Sundown,835,591
114,Huaniao,Pearson,485,654
115,Stizhkivs’ke,Arizona,11,836
116,Lleida,Atwood,575,139
117,Dukuhtengah,Ryan,800,678
118,Santander,Hoffman,726,415
119,Xinzhou,Lien,350,618
120,Tianning,Spohn,428,448
121,Tsaghkahovit,Spaight,121,869
122,Chợ Mới,Portage,982,377
123,São Joaquim,Sugar,172,234
124,La Jicaral,Coleman,330,805
125,Reims,Riverside,83,472
126,Jinshanzui,Meadow Ridge,295,216
127,Miasteczko Śląskie,Del Sol,156,57
128,Orikum,Loftsgordon,634,194
129,Kolmården,Shopko,678,624
130,Al Başrah,Carberry,214,539
131,Beilun,Brentwood,132,957
132,Suqin Huimin,Lerdahl,159,153
133,Ystad,Talisman,474,285
134,Niaojin,Transport,199,40
135,Yangon,Buell,426,525
136,Aubervilliers,Dixon,327,293
137,Mê Linh,Coleman,400,336
138,Calaoagan,David,135,514
139,Elimäki,Washington,185,882
140,Cambanugoy,Mariners Cove,193,986
141,Klakeh,Susan,426,936
142,La Ceja,Gerald,238,940
143,Eskilstuna,Everett,898,711
144,Kavalerovo,Hintze,338,107
145,Gandra,Gina,413,28
146,Coromoro,Milwaukee,563,426
147,Sirghāyā,Heath,319,568
148,Fujioka,Grim,698,868
149,Nieying,Glacier Hill,109,410
150,Melun,Holy Cross,82,537
151,Pajagan,4th,371,649
152,Pingyang,Mitchell,852,626
153,Maradabangga,Beilfuss,392,138
154,Havířov,Fair Oaks,694,359
155,Oujda,Kings,77,24
156,Ulset,Warbler,198,826
157,Yurino,Lakeland,888,603
158,Bacacay,Memorial,844,625
159,Binalonan,Iowa,621,486
160,Caluquembe,Mockingbird,521,708
161,Larnaca,Ridge Oak,256,964
162,Mariara,Hermina,94,556
163,Rakvere,Vera,413,588
164,Beo,Hagan,482,601
165,Padilla,Luster,432,777
166,Linköping,Hooker,580,846
167,Rezé,Blackbird,513,647
168,Monte Novo,Badeau,576,203
169,Rio Claro,Dexter,768,598
170,Lancaster,Armistice,957,871
171,Nizhniy Novgorod,Bartillon,239,667
172,Yablonovskiy,Stuart,289,773
173,Banovo Polje,Burning Wood,667,248
174,Croix,Lotheville,253,198
175,Póvoa de Santo António,Hovde,57,356
176,Anka,Jenifer,430,755
177,Pasadena,Straubel,304,452
178,Eisen,Oxford,543,517
179,Bocaiúva,Pankratz,766,114
180,Jinqu,Scofield,431,267
181,Amagi,Hintze,671,450
182,Tsivil’sk,Graceland,222,782
183,Jomsom,Meadow Ridge,956,78
184,Bilao,Red Cloud,819,569
185,Shouchang,Caliangt,808,807
186,Eirado,Cottonwood,573,301
187,Argalastí,Merry,280,568
188,Bagiktinggang,Fisk,84,451
189,Cigembong,Duke,358,813
190,Haradok,Raven,361,465
191,Caçador,Jackson,213,381
192,Tomislavgrad,Dottie,198,406
193,Simao,Esch,37,86
194,Paico,Tony,919,749
195,Marcala,Dunning,942,246
196,Vřesina,Garrison,154,295
197,Modderfontein,Shelley,730,314
198,Kosti,Superior,127,676
199,Gudang,Loomis,730,474
200,Matadi,Stoughton,63,35
201,Bucu Lor,Hazelcrest,427,722
202,Argir,Maryland,771,99
203,Uglovoye,Center,992,260
204,Laxey,Sauthoff,595,45
205,Armenia,Leroy,239,276
206,Blizne,Del Mar,28,308
207,Michałowice,Nobel,869,527
208,Badong,Comanche,557,91
209,Luyang,Elgar,84,521
